word,root
ножовочный,ног(ж)_2
молодецкий,молод_1
молодчага,молод_1
молодчик,молод_1
молодчина,молод_1
молоденький,молод_2
молодка,молод_2
молодняк,молод_2
молодость,молод_2
молодушка,молод_2
молодёжь,молод_2
моложавый,молод_2
моложе,молод_2
куриный,кур_1
курица,кур_1
курицын,кур_1
курник,кур_1
куровод,кур_1
куроед,кур_1
курочка,кур_1
курятина,кур_1
курятник,кур_1
закурить,кур_2
курилка,кур_2
курильщик,кур_2
окурок,кур_2
купец,куп_1
купечество,куп_1
купленный,куп_1
купля,куп_1
покупать,куп_1
покупка,куп_1
искупаться,куп_2
купава,куп_2
купальник,куп_2
купальный,куп_2
купание,куп_2
купель,куп_2
кормилец,корм_1
кормить,корм_1
кормление,корм_1
кормушка,корм_1
кормёжка,корм_1
накормить,корм_1
подкормка,корм_1
кормило,корм_2
кормовой,корм_2
кормчий,корм_2
кормщик,корм_2
кружевница,круг(ж)_1
кружевной,круг(ж)_1
кружевоплетение,круг(ж)_1
кружевце,круг(ж)_1
вокруг,круг(ж)_2
круглый,круг(ж)_2
кругляк,круг(ж)_2
кругом,круг(ж)_2
кружение,круг(ж)_2
кружить,круг(ж)_2
кружок,круг(ж)_2
окружной,круг(ж)_2
окружность,круг(ж)_2
красавица,крас_1
красавка,крас_1
красавчик,крас_1
красивенький,крас_1
красивый,крас_1
красоваться,крас_1
красота,крас_1
красотка,крас_1
краснеть,крас_2
красноватый,крас_2
красногрудый,крас_2
краснота,крас_2
краснощёкий,крас_2
краснуха,крас_2
красильный,крас_3
красильня,крас_3
красильщик,крас_3
краситель,крас_3
красить,крас_3
краска,крас_3
краскопульт,крас_3
крашеный,крас_3
окрас,крас_3
подкрасить,крас_3
раскраска,крас_3
раскрашивание,крас_3
