белить	бел:ROOT/ить:SUFF
воробей	вороб:ROOT/ей:SUFF
воробейчик	вороб:ROOT/ейчик:SUFF
воробышек	вороб:ROOT/ышек:SUFF
воробьиная	вороб:ROOT/ьиная:SUFF
воробьиха	вороб:ROOT/ьиха:SUFF
воробьишка	вороб:ROOT/ьишка:SUFF
воробьята	вороб:ROOT/ьята:SUFF
воробьятник	вороб:ROOT/ьятник:SUFF
воробьёнок	вороб:ROOT/ьёнок:SUFF
ворон	ворон:ROOT
ворона	ворон:ROOT/а:SUFF
вороний	ворон:ROOT/ий:SUFF
воронушка	ворон:ROOT/ушка:SUFF
вороньё	ворон:ROOT/ьё:SUFF
воронята	ворон:ROOT/ята:SUFF
воронёнок	ворон:ROOT/ёнок:SUFF
воронёночек	ворон:ROOT/ёночек:SUFF
проворонить	про:PREF/ворон:ROOT/ить:SUFF
голова	голов:ROOT/а:SUFF
головастик	голов:ROOT/астик:SUFF
головища	голов:ROOT/ища:SUFF
головка	голов:ROOT/ка:SUFF
головной	голов:ROOT/ной:SUFF
головомойка	голов:ROOT/омойка:SUFF
головонька	голов:ROOT/онька:SUFF
головорез	голов:ROOT/орез:SUFF
головотяп	голов:ROOT/отяп:SUFF
головушка	голов:ROOT/ушка:SUFF
головёнка	голов:ROOT/ёнка:SUFF
заголовок	за:PREF/голов:ROOT/ок:SUFF
поголовно	по:PREF/голов:ROOT/но:SUFF
трёхголовый	трёх:PREF/голов:ROOT/ый:SUFF
впроголодь	впро:PREF/голод:ROOT/ь:SUFF
голод	голод:ROOT
голодание	голод:ROOT/ание:SUFF
голодать	голод:ROOT/ать:SUFF
голодающий	голод:ROOT/ающий:SUFF
голодно	голод:ROOT/но:SUFF
голодный	голод:ROOT/ный:SUFF
голодовка	голод:ROOT/овка:SUFF
голодуха	голод:ROOT/уха:SUFF
изголодаться	из:PREF/голод:ROOT/аться:SUFF
голосина	голос:ROOT/ина:SUFF
голосистый	голос:ROOT/истый:SUFF
голосить	голос:ROOT/ить:SUFF
голосишко	голос:ROOT/ишко:SUFF
голосище	голос:ROOT/ище:SUFF
голосование	голос:ROOT/ование:SUFF
голосовать	голос:ROOT/овать:SUFF
голосовой	голос:ROOT/овой:SUFF
голосок	голос:ROOT/ок:SUFF
подголосок	под:PREF/голос:ROOT/ок:SUFF
горе	гор:ROOT/е:SUFF
горевать	гор:ROOT/евать:SUFF
горемыка	гор:ROOT/емыка:SUFF
горемычный	гор:ROOT/емычный:SUFF
горестный	гор:ROOT/естный:SUFF
горесть	гор:ROOT/есть:SUFF
горькие	гор:ROOT/ькие:SUFF
горюн	гор:ROOT/юн:SUFF
горюшко	гор:ROOT/юшко:SUFF
пригорюниться	при:PREF/гор:ROOT/юниться:SUFF
грачата	грач:ROOT/ата:SUFF
грачик	грач:ROOT/ик:SUFF
грачиный	грач:ROOT/иный:SUFF
грачиха	грач:ROOT/иха:SUFF
грачишка	грач:ROOT/ишка:SUFF
грачище	грач:ROOT/ище:SUFF
грачовник	грач:ROOT/овник:SUFF
грачонок	грач:ROOT/онок:SUFF
груз	груз:ROOT
грузило	груз:ROOT/ило:SUFF
грузить	груз:ROOT/ить:SUFF
грузный	груз:ROOT/ный:SUFF
грузовик	груз:ROOT/овик:SUFF
грузчик	груз:ROOT/чик:SUFF
нагрузка	на:PREF/груз:ROOT/ка:SUFF
перегрузка	пере:PREF/груз:ROOT/ка:SUFF
погрузка	по:PREF/груз:ROOT/ка:SUFF
разгрузить	раз:PREF/груз:ROOT/ить:SUFF
гусак	гус:ROOT/ак:SUFF
гусыня	гус:ROOT/ыня:SUFF
гуськом	гус:ROOT/ьком:SUFF
гусята	гус:ROOT/ята:SUFF
гусятница	гус:ROOT/ятница:SUFF
гусёнок	гус:ROOT/ёнок:SUFF
гусёночек	гус:ROOT/ёночек:SUFF
гусиный	гус:ROOT/иный:SUFF
дворец	двор:ROOT/ец:SUFF
дворецкий	двор:ROOT/ецкий:SUFF
дворик	двор:ROOT/ик:SUFF
дворник	двор:ROOT/ник:SUFF
дворня	двор:ROOT/ня:SUFF
дворняжка	двор:ROOT/няжка:SUFF
дворовый	двор:ROOT/овый:SUFF
дворцовый	двор:ROOT/цовый:SUFF
дворянин	двор:ROOT/янин:SUFF
надворный	на:PREF/двор:ROOT/ный:SUFF
подворье	по:PREF/двор:ROOT/ье:SUFF
придворный	при:PREF/двор:ROOT/ный:SUFF
добренький	добр:ROOT/енький:SUFF
добро	добр:ROOT/о:SUFF
добровольно	добр:ROOT/овольно:SUFF
добровольный	добр:ROOT/овольный:SUFF
добродетель	добр:ROOT/одетель:SUFF
добродетельный	добр:ROOT/одетельный:SUFF
добродушный	добр:ROOT/одушный:SUFF
добросердечный	добр:ROOT/осердечный:SUFF
добросовестно	добр:ROOT/осовестно:SUFF
добросовестный	добр:ROOT/осовестный:SUFF
доброта	добр:ROOT/ота:SUFF
добрый	добр:ROOT/ый:SUFF
добрыня	добр:ROOT/ыня:SUFF
добряк	добр:ROOT/як:SUFF
задобрить	за:PREF/добр:ROOT/ить:SUFF
подобреть	по:PREF/добр:ROOT/еть:SUFF
бездомный	без:PREF/дом:ROOT/ный:SUFF
домик	дом:ROOT/ик:SUFF
домина	дом:ROOT/ина:SUFF
домишко	дом:ROOT/ишко:SUFF
домище	дом:ROOT/ище:SUFF
домовитый	дом:ROOT/овитый:SUFF
домовладелец	дом:ROOT/овладелец:SUFF
домовладение	дом:ROOT/овладение:SUFF
домоводство	дом:ROOT/оводство:SUFF
домовой	дом:ROOT/овой:SUFF
домосед	дом:ROOT/осед:SUFF
домострой	дом:ROOT/острой:SUFF
домохозяйка	дом:ROOT/охозяйка:SUFF
домочадец	дом:ROOT/очадец:SUFF
домработница	дом:ROOT/работница:SUFF
домушник	дом:ROOT/ушник:SUFF
надомник	на:PREF/дом:ROOT/ник:SUFF
дружеский	друж:ROOT/еский:SUFF
дружественный	друж:ROOT/ественный:SUFF
дружина	друж:ROOT/ина:SUFF
дружинник	друж:ROOT/инник:SUFF
дружить	друж:ROOT/ить:SUFF
дружище	друж:ROOT/ище:SUFF
дружно	друж:ROOT/но:SUFF
дружный	друж:ROOT/ный:SUFF
содружество	со:PREF/друж:ROOT/ество:SUFF
дуб	дуб:ROOT
дубина	дуб:ROOT/ина:SUFF
дубинка	дуб:ROOT/инка:SUFF
дубинушка	дуб:ROOT/инушка:SUFF
дубняк	дуб:ROOT/няк:SUFF
дубовик	дуб:ROOT/овик:SUFF
дубовый	дуб:ROOT/овый:SUFF
дубок	дуб:ROOT/ок:SUFF
дубочек	дуб:ROOT/очек:SUFF
дубрава	дуб:ROOT/рава:SUFF
дубравушка	дуб:ROOT/равушка:SUFF
дубьё	дуб:ROOT/ьё:SUFF
коза	коз:ROOT/а:SUFF
козерог	коз:ROOT/ерог:SUFF
козий	коз:ROOT/ий:SUFF
козлик	коз:ROOT/лик:SUFF
козлиный	коз:ROOT/линый:SUFF
козлище	коз:ROOT/лище:SUFF
козлобородый	коз:ROOT/лобородый:SUFF
козлята	коз:ROOT/лята:SUFF
козлятина	коз:ROOT/лятина:SUFF
козлятник	коз:ROOT/лятник:SUFF
козлёнок	коз:ROOT/лёнок:SUFF
козочка	коз:ROOT/очка:SUFF
козёл	коз:ROOT/ёл:SUFF
колокол	кол:ROOT/о:SUFF
колоколенка	кол:ROOT/о:SUFF
колоколец	кол:ROOT/о:SUFF
колоколище	кол:ROOT/о:SUFF
колокольный	кол:ROOT/о:SUFF
колокольня	кол:ROOT/о:SUFF
колокольчик	кол:ROOT/о:SUFF
колокольчиковый	кол:ROOT/о:SUFF
кольцеброс	кольц:ROOT/еброс:SUFF
кольцевание	кольц:ROOT/евание:SUFF
кольцевидный	кольц:ROOT/евидный:SUFF
кольцевой	кольц:ROOT/евой:SUFF
кольцеобразный	кольц:ROOT/еобразный:SUFF
кольцо	кольц:ROOT/о:SUFF
окольцевать	о:PREF/кольц:ROOT/евать:SUFF
окольцованный	о:PREF/кольц:ROOT/ованный:SUFF
коневод	кон:ROOT/евод:SUFF
коневодство	кон:ROOT/еводство:SUFF
конезавод	кон:ROOT/езавод:SUFF
конеферма	кон:ROOT/еферма:SUFF
конина	кон:ROOT/ина:SUFF
конка	кон:ROOT/ка:SUFF
конник	кон:ROOT/ник:SUFF
конница	кон:ROOT/ница:SUFF
конный	кон:ROOT/ный:SUFF
коновал	кон:ROOT/овал:SUFF
коновязь	кон:ROOT/овязь:SUFF
конокрад	кон:ROOT/окрад:SUFF
конский	кон:ROOT/ский:SUFF
конюх	кон:ROOT/юх:SUFF
конюшня	кон:ROOT/юшня:SUFF
конёк	кон:ROOT/ёк:SUFF
ледник	лед:ROOT/ник:SUFF
ледниковый	лед:ROOT/никовый:SUFF
ледовый	лед:ROOT/овый:SUFF
ледок	лед:ROOT/ок:SUFF
ледокол	лед:ROOT/окол:SUFF
ледорез	лед:ROOT/орез:SUFF
ледоруб	лед:ROOT/оруб:SUFF
ледышка	лед:ROOT/ышка:SUFF
ледянка	лед:ROOT/янка:SUFF
ледяной	лед:ROOT/яной:SUFF
обледенение	об:PREF/лед:ROOT/енение:SUFF
лесистый	лес:ROOT/истый:SUFF
лесник	лес:ROOT/ник:SUFF
лесничество	лес:ROOT/ничество:SUFF
лесничий	лес:ROOT/ничий:SUFF
лесной	лес:ROOT/ной:SUFF
лесовик	лес:ROOT/овик:SUFF
лесозаготовка	лес:ROOT/озаготовка:SUFF
лесозащитный	лес:ROOT/озащитный:SUFF
лесок	лес:ROOT/ок:SUFF
лесопарк	лес:ROOT/опарк:SUFF
лесопилка	лес:ROOT/опилка:SUFF
лесоповал	лес:ROOT/оповал:SUFF
лесоруб	лес:ROOT/оруб:SUFF
лесосека	лес:ROOT/осека:SUFF
лесосплав	лес:ROOT/осплав:SUFF
лесостепь	лес:ROOT/остепь:SUFF
подлесок	под:PREF/лес:ROOT/ок:SUFF
полесье	по:PREF/лес:ROOT/ье:SUFF
вертолёт	верто:PREF/лёт:ROOT
взлёт	вз:PREF/лёт:ROOT
звездолёт	звездо:PREF/лёт:ROOT
лёт	лёт:ROOT
лётный	лёт:ROOT/ный:SUFF
лётчик	лёт:ROOT/чик:SUFF
перелёт	пере:PREF/лёт:ROOT
полёт	по:PREF/лёт:ROOT
самолёт	само:PREF/лёт:ROOT
лиственница	лист:ROOT/венница:SUFF
лиственный	лист:ROOT/венный:SUFF
листик	лист:ROOT/ик:SUFF
листовидный	лист:ROOT/овидный:SUFF
листовёртка	лист:ROOT/овёртка:SUFF
листоед	лист:ROOT/оед:SUFF
листок	лист:ROOT/ок:SUFF
листообразный	лист:ROOT/ообразный:SUFF
листопад	лист:ROOT/опад:SUFF
листочек	лист:ROOT/очек:SUFF
медведица	мед:ROOT/ведица:SUFF
медведка	мед:ROOT/ведка:SUFF
медведь	мед:ROOT/ведь:SUFF
медвежата	мед:ROOT/вежата:SUFF
медвежатник	мед:ROOT/вежатник:SUFF
медвежий	мед:ROOT/вежий:SUFF
медвежонок	мед:ROOT/вежонок:SUFF
медовый	мед:ROOT/овый:SUFF
медок	мед:ROOT/ок:SUFF
медонос	мед:ROOT/онос:SUFF
медосбор	мед:ROOT/осбор:SUFF
медуница	мед:ROOT/уница:SUFF
лосепитомник	лос:ROOT/епитомник:SUFF
лосеферма	лос:ROOT/еферма:SUFF
лосий	лос:ROOT/ий:SUFF
лосиный	лос:ROOT/иный:SUFF
лосиха	лос:ROOT/иха:SUFF
лось	лос:ROOT/ь:SUFF
лосята	лос:ROOT/ята:SUFF
лосятина	лос:ROOT/ятина:SUFF
лосёвый	лос:ROOT/ёвый:SUFF
лосёнок	лос:ROOT/ёнок:SUFF
лосёночек	лос:ROOT/ёночек:SUFF
заморозка	за:PREF/мороз:ROOT/ка:SUFF
заморозок	за:PREF/мороз:ROOT/ок:SUFF
морозец	мороз:ROOT/ец:SUFF
морозилка	мороз:ROOT/илка:SUFF
морозильник	мороз:ROOT/ильник:SUFF
морозить	мороз:ROOT/ить:SUFF
морозище	мороз:ROOT/ище:SUFF
морозный	мороз:ROOT/ный:SUFF
морозостойкий	мороз:ROOT/остойкий:SUFF
овощевод	овощ:ROOT/евод:SUFF
овощеводство	овощ:ROOT/еводство:SUFF
овощеводческий	овощ:ROOT/еводческий:SUFF
овощемоечный	овощ:ROOT/емоечный:SUFF
овощерезка	овощ:ROOT/ерезка:SUFF
овощесушилка	овощ:ROOT/есушилка:SUFF
овощехранилище	овощ:ROOT/ехранилище:SUFF
овощной	овощ:ROOT/ной:SUFF
обрадовать	об:PREF/рад:ROOT/овать:SUFF
радостно	рад:ROOT/остно:SUFF
радостный	рад:ROOT/остный:SUFF
радость	рад:ROOT/ость:SUFF
радушие	рад:ROOT/ушие:SUFF
радушный	рад:ROOT/ушный:SUFF
радующий	рад:ROOT/ующий:SUFF
радующийся	рад:ROOT/ующийся:SUFF
радёхонька	рад:ROOT/ёхонька:SUFF
радёшенек	рад:ROOT/ёшенек:SUFF
непобедимый	не:PREF/побед:ROOT/имый:SUFF
победа	побед:ROOT/а:SUFF
победивший	побед:ROOT/ивший:SUFF
победитель	побед:ROOT/итель:SUFF
победительница	побед:ROOT/ительница:SUFF
победить	побед:ROOT/ить:SUFF
победный	побед:ROOT/ный:SUFF
победоносный	побед:ROOT/оносный:SUFF
ракета	рак:ROOT/ета:SUFF
ракета-носитель	рак:ROOT/ета-носитель:SUFF
ракетница	рак:ROOT/етница:SUFF
ракетный	рак:ROOT/етный:SUFF
ракетодром	рак:ROOT/етодром:SUFF
ракетоносец	рак:ROOT/етоносец:SUFF
ракетостроение	рак:ROOT/етостроение:SUFF
ракетчик	рак:ROOT/етчик:SUFF
породниться	по:PREF/род:ROOT/ниться:SUFF
родина	род:ROOT/ина:SUFF
родители	род:ROOT/ители:SUFF
родительский	род:ROOT/ительский:SUFF
родиться	род:ROOT/иться:SUFF
родной	род:ROOT/ной:SUFF
родственник	род:ROOT/ственник:SUFF
родственный	род:ROOT/ственный:SUFF
снегирь	снег:ROOT/ирь:SUFF
снеговик	снег:ROOT/овик:SUFF
снегозадержание	снег:ROOT/озадержание:SUFF
снегокат	снег:ROOT/окат:SUFF
снегопад	снег:ROOT/опад:SUFF
снеготаяние	снег:ROOT/отаяние:SUFF
снегоуборка	снег:ROOT/оуборка:SUFF
снегоход	снег:ROOT/оход:SUFF
снегурочка	снег:ROOT/урочка:SUFF
зоосад	зоо:PREF/сад:ROOT
палисадник	пали:PREF/сад:ROOT/ник:SUFF
пересадка	пере:PREF/сад:ROOT/ка:SUFF
посадка	по:PREF/сад:ROOT/ка:SUFF
посадочный	по:PREF/сад:ROOT/очный:SUFF
рассада	рас:PREF/сад:ROOT/а:SUFF
рассадить	рас:PREF/сад:ROOT/ить:SUFF
садик	сад:ROOT/ик:SUFF
садовник	сад:ROOT/овник:SUFF
садовничий	сад:ROOT/овничий:SUFF
садовод	сад:ROOT/овод:SUFF
садоводство	сад:ROOT/оводство:SUFF
садовый	сад:ROOT/овый:SUFF
садочек	сад:ROOT/очек:SUFF
злословие	зло:PREF/слов:ROOT/ие:SUFF
послесловие	после:PREF/слов:ROOT/ие:SUFF
предисловие	преди:PREF/слов:ROOT/ие:SUFF
словарик	слов:ROOT/арик:SUFF
словарный	слов:ROOT/арный:SUFF
словарь	слов:ROOT/арь:SUFF
словесник	слов:ROOT/есник:SUFF
словесность	слов:ROOT/есность:SUFF
словесный	слов:ROOT/есный:SUFF
словечко	слов:ROOT/ечко:SUFF
слово	слов:ROOT/о:SUFF
словоизменение	слов:ROOT/оизменение:SUFF
словообразование	слов:ROOT/ообразование:SUFF
словоохотливый	слов:ROOT/оохотливый:SUFF
словосочетание	слов:ROOT/осочетание:SUFF
словотворчество	слов:ROOT/отворчество:SUFF
словоупотребление	слов:ROOT/оупотребление:SUFF
словцо	слов:ROOT/цо:SUFF
солнце	солнц:ROOT/е:SUFF
солнцеворот	солнц:ROOT/еворот:SUFF
солнцезащитный	солнц:ROOT/езащитный:SUFF
солнцелюбивый	солнц:ROOT/елюбивый:SUFF
солнцеобразный	солнц:ROOT/еобразный:SUFF
солнцепёк	солнц:ROOT/епёк:SUFF
солнцестояние	солнц:ROOT/естояние:SUFF
солнцестояние	солнц:ROOT/естояние:SUFF
недосол	недо:PREF/сол:ROOT
пересол	пере:PREF/сол:ROOT
солеварня	сол:ROOT/еварня:SUFF
солевой	сол:ROOT/евой:SUFF
соление	сол:ROOT/ение:SUFF
солить	сол:ROOT/ить:SUFF
солонец	сол:ROOT/онец:SUFF
солонец	сол:ROOT/онец:SUFF
солонина	сол:ROOT/онина:SUFF
солонка	сол:ROOT/онка:SUFF
солоноватый	сол:ROOT/оноватый:SUFF
солончак	сол:ROOT/ончак:SUFF
солянка	сол:ROOT/янка:SUFF
солёный	сол:ROOT/ёный:SUFF
спортзал	спорт:ROOT/зал:SUFF
спортивный	спорт:ROOT/ивный:SUFF
спортинвентарь	спорт:ROOT/инвентарь:SUFF
спортклуб	спорт:ROOT/клуб:SUFF
спорткомплекс	спорт:ROOT/комплекс:SUFF
спортлото	спорт:ROOT/лото:SUFF
спортобщество	спорт:ROOT/общество:SUFF
спортплощадка	спорт:ROOT/площадка:SUFF
спортсмен	спорт:ROOT/смен:SUFF
спортсменка	спорт:ROOT/сменка:SUFF
спорттовары	спорт:ROOT/товары:SUFF
застолье	за:PREF/стол:ROOT/ье:SUFF
застольный	за:PREF/стол:ROOT/ьный:SUFF
престол	пре:PREF/стол:ROOT
столик	стол:ROOT/ик:SUFF
столица	стол:ROOT/ица:SUFF
столичный	стол:ROOT/ичный:SUFF
столище	стол:ROOT/ище:SUFF
столоваться	стол:ROOT/оваться:SUFF
столовая	стол:ROOT/овая:SUFF
стольничий	стол:ROOT/ьничий:SUFF
стольный	стол:ROOT/ьный:SUFF
столяр	стол:ROOT/яр:SUFF
столярничать	стол:ROOT/ярничать:SUFF
столярный	стол:ROOT/ярный:SUFF
первоцвет	перво:PREF/цвет:ROOT
пустоцвет	пусто:PREF/цвет:ROOT
расцветать	рас:PREF/цвет:ROOT/ать:SUFF
соцветие	со:PREF/цвет:ROOT/ие:SUFF
цветение	цвет:ROOT/ение:SUFF
цветник	цвет:ROOT/ник:SUFF
цветовод	цвет:ROOT/овод:SUFF
цветочек	цвет:ROOT/очек:SUFF
цветочный	цвет:ROOT/очный:SUFF
цветущий	цвет:ROOT/ущий:SUFF
цветы	цвет:ROOT/ы:SUFF
похолодание	по:PREF/холод:ROOT/ание:SUFF
холодец	холод:ROOT/ец:SUFF
холодильник	холод:ROOT/ильник:SUFF
холодильный	холод:ROOT/ильный:SUFF
холодина	холод:ROOT/ина:SUFF
холодить	холод:ROOT/ить:SUFF
холодище	холод:ROOT/ище:SUFF
холодно	холод:ROOT/но:SUFF
холодновато	холод:ROOT/новато:SUFF
холоднокровный	холод:ROOT/нокровный:SUFF
холодок	холод:ROOT/ок:SUFF
холодостойкий	холод:ROOT/остойкий:SUFF
вездеход	везде:PREF/ход:ROOT
восход	вос:PREF/ход:ROOT
вход	в:PREF/ход:ROOT
выходить	вы:PREF/ход:ROOT/ить:SUFF
луноход	луно:PREF/ход:ROOT
переход	пере:PREF/ход:ROOT
поход	по:PREF/ход:ROOT
походка	по:PREF/ход:ROOT/ка:SUFF
теплоход	тепло:PREF/ход:ROOT
ходики	ход:ROOT/ики:SUFF
ходить	ход:ROOT/ить:SUFF
ходули	ход:ROOT/ули:SUFF
ходунки	ход:ROOT/унки:SUFF
нахлебник	на:PREF/хлеб:ROOT/ник:SUFF
хлебец	хлеб:ROOT/ец:SUFF
хлебница	хлеб:ROOT/ница:SUFF
хлебный	хлеб:ROOT/ный:SUFF
хлебобулочный	хлеб:ROOT/обулочный:SUFF
хлебозавод	хлеб:ROOT/озавод:SUFF
хлебозаготовка	хлеб:ROOT/озаготовка:SUFF
хлебопашец	хлеб:ROOT/опашец:SUFF
хлебопекарня	хлеб:ROOT/опекарня:SUFF
хлебопродукты	хлеб:ROOT/опродукты:SUFF
хлебопёк	хлеб:ROOT/опёк:SUFF
хлеборезка	хлеб:ROOT/орезка:SUFF
хлебороб	хлеб:ROOT/ороб:SUFF
хлебосол	хлеб:ROOT/осол:SUFF
хлебоуборочный	хлеб:ROOT/оуборочный:SUFF
хлебушек	хлеб:ROOT/ушек:SUFF
наушники	на:PREF/уш:ROOT/ники:SUFF
подушка	под:PREF/уш:ROOT/ка:SUFF
ушанка	уш:ROOT/анка:SUFF
ушастый	уш:ROOT/астый:SUFF
уши	уш:ROOT/и:SUFF
ушко	уш:ROOT/ко:SUFF
ушник	уш:ROOT/ник:SUFF
ушной	уш:ROOT/ной:SUFF
разнотравье	разно:PREF/трав:ROOT/ье:SUFF
трава	трав:ROOT/а:SUFF
травинка	трав:ROOT/инка:SUFF
травинушка	трав:ROOT/инушка:SUFF
травка	трав:ROOT/ка:SUFF
травник	трав:ROOT/ник:SUFF
травница	трав:ROOT/ница:SUFF
травонька	трав:ROOT/онька:SUFF
травополье	трав:ROOT/ополье:SUFF
травосеяние	трав:ROOT/осеяние:SUFF
травостой	трав:ROOT/остой:SUFF
травочка	трав:ROOT/очка:SUFF
травоядный	трав:ROOT/оядный:SUFF
травушка	трав:ROOT/ушка:SUFF
травянистый	трав:ROOT/янистый:SUFF
травяной	трав:ROOT/яной:SUFF
натренированный	на:PREF/трен:ROOT/ированный:SUFF
перетренироваться	пере:PREF/трен:ROOT/ироваться:SUFF
тренаж	трен:ROOT/аж:SUFF
тренажёр	трен:ROOT/ажёр:SUFF
тренер	трен:ROOT/ер:SUFF
тренерский	трен:ROOT/ерский:SUFF
тренинг	трен:ROOT/инг:SUFF
тренированный	трен:ROOT/ированный:SUFF
тренировать	трен:ROOT/ировать:SUFF
тренироваться	трен:ROOT/ироваться:SUFF
тренировка	трен:ROOT/ировка:SUFF
тренировочный	трен:ROOT/ировочный:SUFF
застройка	за:PREF/строй:ROOT/ка:SUFF
застройщик	за:PREF/строй:ROOT/щик:SUFF
надстройка	над:PREF/строй:ROOT/ка:SUFF
перестройка	пере:PREF/строй:ROOT/ка:SUFF
постройка	по:PREF/строй:ROOT/ка:SUFF
пристройка	при:PREF/строй:ROOT/ка:SUFF
стройбат	строй:ROOT/бат:SUFF
стройка	строй:ROOT/ка:SUFF
стройплощадка	строй:ROOT/площадка:SUFF
выигрывать	вы:PREF/игр:ROOT/ывать:SUFF
выигрыш	вы:PREF/игр:ROOT/ыш:SUFF
игра	игр:ROOT/а:SUFF
играть	игр:ROOT/ать:SUFF
играющий	игр:ROOT/ающий:SUFF
игривый	игр:ROOT/ивый:SUFF
игрище	игр:ROOT/ище:SUFF
игровой	игр:ROOT/овой:SUFF
игрок	игр:ROOT/ок:SUFF
игротека	игр:ROOT/отека:SUFF
игрун	игр:ROOT/ун:SUFF
игрушечный	игр:ROOT/ушечный:SUFF
игрушка	игр:ROOT/ушка:SUFF
наигрыш	на:PREF/игр:ROOT/ыш:SUFF
проигрыш	про:PREF/игр:ROOT/ыш:SUFF
каменистый	кам:ROOT/енистый:SUFF
каменка	кам:ROOT/енка:SUFF
каменный	кам:ROOT/енный:SUFF
каменотёс	кам:ROOT/енотёс:SUFF
каменщик	кам:ROOT/енщик:SUFF
камень	кам:ROOT/ень:SUFF
камнеломка	кам:ROOT/неломка:SUFF
камнеломня	кам:ROOT/неломня:SUFF
камнемёт	кам:ROOT/немёт:SUFF
камнеобработка	кам:ROOT/необработка:SUFF
